                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8942,                 2.3359,                 1.8624,                0.92584,                0.79365,                0.88897,                0.48785,                 1.5352,                 1.7196,                 1.9053,                0.00012,                0.00012,                0.00012
                      2,                  1.211,                 1.2861,                 1.2675,                0.99881,                      1,                  0.995,                0.71197,                 1.0118,                 1.2971,                 1.3298,             0.00025485,             0.00025485,             0.00025485
                      3,                 1.0246,                 0.7833,                 1.1598,                0.99906,                      1,                  0.995,                0.70171,                 1.0009,                0.80292,                  1.286,             0.00038416,             0.00038416,             0.00038416
                      4,                 1.0677,                 0.6793,                 1.1344,                0.98187,                0.96825,                0.97691,                0.59245,                 1.2884,                0.78522,                 1.5368,             0.00050792,             0.00050792,             0.00050792
                      5,                 1.0125,                 0.7048,                 1.1717,                      1,                0.99534,                  0.995,                0.72802,                 1.0087,                0.96331,                 1.2651,             0.00062614,             0.00062614,             0.00062614
                      6,                 0.9772,                0.67329,                 1.1617,                0.95253,                0.95567,                0.98446,                0.67997,                 1.0507,                 1.2113,                 1.2942,             0.00073882,             0.00073882,             0.00073882
                      7,                0.99516,                0.63061,                 1.1695,                0.91159,                0.88889,                0.96104,                0.68425,                  1.072,                0.83424,                 1.2746,             0.00084595,             0.00084595,             0.00084595
                      8,                 1.0207,                0.56617,                 1.1113,                0.78671,                0.87823,                0.89742,                0.55525,                 1.2147,                 1.8312,                 1.4396,             0.00094754,             0.00094754,             0.00094754
                      9,                0.96852,                0.62692,                 1.1369,                0.95777,                0.88889,                0.96276,                0.63766,                 1.1428,                0.99992,                 1.3694,              0.0010436,              0.0010436,              0.0010436
                     10,                 1.0227,                0.52869,                 1.1469,                      1,                0.98257,                0.99455,                0.70648,                 1.0627,                0.78956,                 1.3069,              0.0011341,              0.0011341,              0.0011341
                     11,                0.96782,                0.49237,                 1.0903,                0.89726,                 0.9704,                0.98443,                0.67947,                 1.1039,                0.96609,                 1.3739,               0.001219,               0.001219,               0.001219
                     12,                 1.0011,                0.56142,                 1.1704,                 0.9719,                      1,                0.99484,                0.71007,                 1.0976,                0.84109,                 1.3475,              0.0012985,              0.0012985,              0.0012985
                     13,                0.96829,                0.50229,                 1.0945,                0.99787,                      1,                  0.995,                0.70346,                 1.0981,                0.65407,                 1.3652,              0.0013723,              0.0013723,              0.0013723
                     14,                  1.043,                0.55124,                 1.1565,                0.98161,                      1,                0.99484,                0.69118,                 1.0299,                0.74241,                 1.2803,              0.0014406,              0.0014406,              0.0014406
                     15,                0.99591,                 0.5338,                 1.1185,                0.96296,                0.90476,                0.93436,                0.61944,                 1.1413,                0.76337,                 1.3757,              0.0014456,              0.0014456,              0.0014456
                     16,                0.97017,                0.51819,                 1.0573,                0.96687,                0.92644,                0.97368,                0.67805,                 1.0409,                0.80595,                  1.287,               0.001406,               0.001406,               0.001406
                     17,                0.96256,                0.46381,                 1.1034,                      1,                0.98393,                0.99455,                0.71419,                 1.0071,                 0.7355,                 1.2415,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0011,                0.51106,                 1.1707,                0.93145,                0.98413,                0.99284,                0.72281,                 1.0124,                 0.7082,                 1.2361,              0.0013268,              0.0013268,              0.0013268
                     19,                0.97859,                0.48971,                 1.1004,                      1,                0.99602,                  0.995,                0.74276,                0.94001,                0.72009,                 1.2199,              0.0012872,              0.0012872,              0.0012872
                     20,                0.96234,                0.47701,                 1.1178,                0.99685,                      1,                  0.995,                0.73315,                 0.9649,                0.48711,                 1.2635,              0.0012476,              0.0012476,              0.0012476
                     21,                0.94829,                0.45079,                 1.0648,                0.99797,                      1,                  0.995,                0.74394,                0.96386,                0.46636,                 1.2643,               0.001208,               0.001208,               0.001208
                     22,                0.92984,                0.44148,                 1.0721,                0.99824,                      1,                  0.995,                0.74115,                0.95939,                0.45731,                 1.2458,              0.0011684,              0.0011684,              0.0011684
                     23,                 0.8982,                0.42766,                 1.1006,                0.99862,                0.98413,                0.99029,                0.74729,                0.96224,                0.41842,                 1.2329,              0.0011288,              0.0011288,              0.0011288
                     24,                0.88026,                0.45741,                 1.0762,                0.99697,                0.98413,                0.98513,                0.68446,                 1.0508,                0.52523,                 1.2939,              0.0010892,              0.0010892,              0.0010892
                     25,                0.91493,                0.43878,                 1.0524,                0.99793,                0.98413,                0.98513,                0.68538,                 1.0943,                0.53339,                 1.3325,              0.0010496,              0.0010496,              0.0010496
                     26,                0.97959,                 0.4823,                 1.1909,                0.99881,                0.98413,                0.99351,                0.73996,                0.97089,                 0.4166,                 1.2095,                0.00101,                0.00101,                0.00101
                     27,                0.94791,                0.43737,                 1.0592,                0.99877,                0.98413,                0.99484,                0.69156,                 1.0832,                0.45317,                 1.2983,              0.0009704,              0.0009704,              0.0009704
                     28,                0.96244,                0.45218,                 1.1124,                0.99774,                      1,                  0.995,                0.73357,                0.99807,                0.38546,                 1.2562,              0.0009308,              0.0009308,              0.0009308
                     29,                 0.9123,                0.45332,                 1.0831,                      1,                0.99521,                  0.995,                0.75288,                0.97851,                0.39174,                 1.2374,              0.0008912,              0.0008912,              0.0008912
                     30,                0.89837,                0.42657,                 1.0682,                      1,                0.99854,                  0.995,                0.72644,                0.99408,                0.39588,                 1.2484,              0.0008516,              0.0008516,              0.0008516
                     31,                0.90839,                0.41904,                 1.0736,                0.99984,                      1,                  0.995,                0.71564,                 1.0068,                0.38781,                 1.2598,               0.000812,               0.000812,               0.000812
                     32,                0.93227,                0.43077,                 1.0539,                0.99794,                      1,                  0.995,                0.73679,                0.96513,                0.39656,                 1.2162,              0.0007724,              0.0007724,              0.0007724
                     33,                0.91556,                0.41985,                 1.0944,                0.99881,                      1,                  0.995,                0.74247,                0.95874,                0.41609,                 1.1936,              0.0007328,              0.0007328,              0.0007328
                     34,                 0.8557,                0.40819,                 1.0596,                0.99625,                      1,                  0.995,                0.74226,                 0.9862,                0.36526,                 1.1891,              0.0006932,              0.0006932,              0.0006932
                     35,                0.90746,                0.43391,                 1.0664,                0.99789,                      1,                  0.995,                0.75243,                0.96318,                0.35061,                  1.166,              0.0006536,              0.0006536,              0.0006536
                     36,                0.90849,                0.42717,                 1.1016,                0.99788,                      1,                  0.995,                0.75334,                0.93671,                0.35582,                 1.1644,               0.000614,               0.000614,               0.000614
                     37,                0.86397,                0.38759,                 1.0461,                0.99794,                      1,                  0.995,                0.76558,                0.93424,                 0.3514,                 1.1683,              0.0005744,              0.0005744,              0.0005744
                     38,                0.88429,                 0.3971,                  1.045,                0.99817,                      1,                  0.995,                0.75601,                0.93876,                0.33615,                 1.1701,              0.0005348,              0.0005348,              0.0005348
                     39,                0.86184,                0.41552,                 1.0835,                0.99831,                      1,                  0.995,                0.77233,                0.91445,                0.32441,                 1.1576,              0.0004952,              0.0004952,              0.0004952
                     40,                0.84649,                0.37886,                 1.0388,                0.99833,                      1,                  0.995,                0.77363,                0.89484,                0.32333,                 1.1511,              0.0004556,              0.0004556,              0.0004556
                     41,                0.81889,                 0.3598,                 1.0966,                0.99821,                      1,                  0.995,                0.76736,                0.89829,                0.32981,                 1.1489,               0.000416,               0.000416,               0.000416
                     42,                0.78846,                0.32756,                 1.0373,                0.99849,                      1,                  0.995,                0.75579,                0.91284,                0.33506,                  1.164,              0.0003764,              0.0003764,              0.0003764
                     43,                0.82362,                0.35455,                 1.0886,                0.99862,                      1,                  0.995,                0.76534,                0.90032,                0.32887,                 1.1571,              0.0003368,              0.0003368,              0.0003368
                     44,                0.79602,                0.33599,                 1.0935,                0.99872,                      1,                  0.995,                0.77313,                0.89412,                0.31448,                 1.1548,              0.0002972,              0.0002972,              0.0002972
                     45,                0.81755,                0.33103,                  1.131,                0.99875,                      1,                  0.995,                0.77191,                0.89444,                0.31812,                 1.1561,              0.0002576,              0.0002576,              0.0002576
                     46,                0.79218,                0.33247,                 1.0923,                0.99884,                      1,                  0.995,                0.77681,                0.89397,                0.31136,                 1.1497,               0.000218,               0.000218,               0.000218
                     47,                0.79224,                0.31891,                 1.0877,                0.99881,                      1,                  0.995,                0.77621,                0.90942,                0.31376,                 1.1548,              0.0001784,              0.0001784,              0.0001784
                     48,                0.74546,                0.31102,                 1.0356,                 0.9988,                      1,                  0.995,                0.77876,                0.90556,                0.30928,                 1.1528,              0.0001388,              0.0001388,              0.0001388
                     49,                0.80333,                0.32956,                 1.1101,                0.99876,                      1,                  0.995,                0.77968,                0.90358,                0.30639,                 1.1512,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.76707,                0.32103,                 1.0849,                0.99879,                      1,                  0.995,                0.78373,                 0.9006,                0.30689,                 1.1489,               5.96e-05,               5.96e-05,               5.96e-05
